Delivery Date;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
20.11.2019;41.82;40.00;39.00;39.52;40.30;43.90;52.00;63.35;70.76;65.67;64.11;64.00;61.17;61.98;61.36;62.75;68.47;75.22;76.08;66.44;54.92;48.63;42.59;40.56
19.11.2019;27.00;25.97;24.70;22.98;27.03;33.01;39.90;50.61;52.36;52.00;51.02;51.46;50.46;51.25;51.35;54.40;56.67;65.47;64.13;55.44;52.97;50.39;48.89;41.20
18.11.2019;34.07;32.60;33.49;33.49;34.45;36.50;44.33;53.02;55.92;54.90;54.00;53.98;53.90;53.92;53.28;54.98;57.17;59.91;57.55;54.95;47.32;41.10;40.10;37.50
17.11.2019;34.05;32.86;32.10;30.62;30.30;31.20;34.01;35.58;39.01;41.00;43.15;44.00;42.88;40.98;38.60;39.80;41.79;45.39;46.49;45.40;39.60;38.00;37.98;37.00
16.11.2019;37.62;37.00;37.00;34.98;34.41;35.00;37.00;41.09;44.03;44.00;43.46;42.26;40.21;39.01;37.15;39.08;42.13;46.27;48.40;46.78;39.45;36.78;37.00;34.05
15.11.2019;34.49;33.04;31.50;29.50;30.16;33.91;37.98;46.76;50.23;49.97;49.40;49.37;48.81;47.35;46.73;48.31;50.68;54.02;53.94;49.99;46.92;44.25;43.89;40.18
14.11.2019;38.10;37.66;37.09;37.03;38.00;38.57;45.50;55.30;58.80;57.40;55.31;54.74;53.70;55.94;56.42;58.60;62.10;62.95;56.93;54.26;46.92;39.76;38.86;37.02
13.11.2019;36.03;36.09;35.96;34.58;36.09;38.59;47.92;53.43;57.80;57.25;55.29;54.72;52.97;52.93;54.00;55.73;57.31;65.78;62.15;57.75;50.55;47.21;45.43;42.55
12.11.2019;29.76;28.48;27.73;28.13;29.79;32.04;41.80;45.63;51.57;50.98;51.16;51.22;51.07;51.08;50.60;51.01;52.98;57.00;54.88;52.91;49.55;43.02;41.21;37.10
11.11.2019;35.30;34.10;33.70;32.29;33.61;35.00;41.90;49.00;51.30;49.94;48.99;47.00;46.00;46.09;44.90;47.50;49.40;52.00;51.22;48.38;42.00;35.40;35.04;32.41
10.11.2019;35.50;33.74;32.75;31.14;30.17;31.05;33.00;35.06;36.73;38.29;37.29;37.60;37.30;36.10;36.00;38.01;40.90;45.00;50.56;50.65;46.00;42.33;41.50;38.23
09.11.2019;39.46;36.50;35.15;33.50;32.84;33.76;35.49;39.00;42.28;44.02;43.28;42.70;39.54;37.31;36.50;38.50;43.76;48.56;49.30;46.60;42.31;40.38;39.39;35.09
08.11.2019;33.59;32.84;32.05;31.00;33.00;34.90;42.90;50.10;55.14;54.42;53.41;52.90;51.91;52.22;51.50;52.98;54.50;62.24;64.00;55.92;50.80;45.29;43.63;38.51
07.11.2019;37.72;36.51;34.72;33.49;34.07;35.83;41.90;49.80;50.72;49.95;48.11;48.70;46.86;47.20;47.41;48.30;48.99;53.27;53.96;49.51;41.56;37.46;35.94;33.72
06.11.2019;35.90;34.10;33.88;32.28;33.32;34.54;45.34;50.60;56.20;56.16;54.56;54.48;52.99;53.67;53.44;55.99;57.95;65.08;67.75;58.90;51.56;46.91;44.89;40.31
05.11.2019;32.03;30.50;29.80;28.41;29.90;32.06;40.90;47.96;50.30;49.92;49.01;49.00;48.00;48.00;47.99;49.98;52.40;58.98;60.60;55.01;48.51;42.19;39.54;35.00
04.11.2019;29.07;27.50;27.20;27.99;28.69;30.99;36.23;44.49;49.90;48.00;48.50;49.90;47.99;48.00;47.98;49.90;51.50;57.00;56.00;51.50;43.99;36.46;35.09;33.00
03.11.2019;27.00;25.67;25.99;23.54;23.77;27.86;23.99;28.14;32.43;33.69;35.00;36.69;38.40;36.99;34.99;38.00;36.32;40.69;45.12;47.91;37.98;33.81;34.03;31.94
02.11.2019;27.91;26.53;23.49;23.20;24.51;24.69;26.35;31.49;35.47;35.38;35.22;35.41;35.07;34.89;32.68;33.20;34.01;39.00;41.80;40.00;33.49;31.16;31.12;28.87
01.11.2019;34.32;32.91;32.32;31.00;30.90;31.03;31.09;33.02;33.69;35.01;35.06;35.12;35.04;33.70;32.45;33.09;33.07;35.07;38.05;38.66;33.91;31.00;30.10;28.26
31.10.2019;36.77;35.34;35.05;34.49;34.51;36.65;41.88;51.72;51.04;48.97;47.00;46.42;43.97;43.66;45.00;47.85;49.77;54.49;56.68;51.93;48.20;42.10;37.49;35.05
30.10.2019;39.00;37.06;37.01;36.03;36.59;39.05;46.65;57.23;60.00;56.20;53.87;52.90;51.74;51.30;52.10;54.00;59.00;61.99;63.68;60.07;52.96;46.50;42.50;39.00
29.10.2019;39.00;36.92;36.33;35.66;36.16;38.87;46.66;56.80;58.71;56.39;54.00;53.00;51.14;49.71;51.59;52.52;56.52;61.94;63.90;60.00;52.00;46.19;42.51;39.54
28.10.2019;28.94;29.00;29.04;29.00;30.10;33.31;43.42;52.00;57.29;54.21;51.92;49.50;48.00;47.49;47.49;47.90;50.50;55.00;59.49;57.32;49.99;47.97;43.07;38.00
27.10.2019;18.86;16.71;17.0 | 20.0;8.91;7.19;16.00;24.85;33.00;34.21;36.07;36.07;37.95;36.05;30.02;29.03;30.00;32.84;36.01;39.19;40.41;37.99;35.00;31.00;29.50
26.10.2019;27.85;25.47;20.88;21.94;18.47;22.47;25.47;28.57;29.00;29.67;28.98;28.95;27.95;26.57;26.14;24.90;26.98;29.06;34.14;36.08;34.50;27.76;25.56;22.63
25.10.2019;29.02;27.55;25.31;25.00;24.84;29.51;36.50;46.48;50.18;49.49;46.94;43.40;38.50;36.10;35.96;36.44;39.86;42.99;47.25;47.90;39.32;35.94;34.94;30.47
24.10.2019;32.55;30.37;29.80;27.70;29.62;32.50;37.51;49.50;52.57;51.00;49.96;46.74;41.22;39.28;38.50;38.95;41.95;47.10;49.87;50.90;42.81;36.81;33.08;30.37
23.10.2019;35.36;33.49;32.94;32.39;33.45;35.50;46.49;52.52;57.97;55.01;53.49;51.56;47.29;44.04;43.50;43.34;46.90;50.18;54.90;57.29;46.00;40.49;35.41;33.45
22.10.2019;35.92;34.50;33.90;32.92;33.56;35.09;46.50;55.10;58.60;56.50;54.93;52.00;48.90;46.40;46.26;47.96;51.00;54.96;58.66;62.00;56.12;49.50;44.33;39.50
21.10.2019;31.50;31.00;29.19;30.32;30.49;34.49;46.50;60.70;57.60;55.80;55.30;53.49;50.50;48.80;47.00;47.30;49.72;53.30;58.50;64.50;56.50;49.60;44.49;35.00
20.10.2019;31.60;29.99;27.50;27.24;27.00;28.10;29.00;33.05;36.67;37.50;38.08;37.50;36.61;33.00;32.49;31.07;36.34;41.70;46.62;50.16;47.00;41.78;39.10;34.90
19.10.2019;28.22;26.92;24.77;24.00;24.50;26.50;28.70;32.75;36.20;39.00;40.00;38.90;37.17;33.16;33.07;32.35;35.60;40.00;45.57;46.20;42.50;37.02;34.74;32.07
18.10.2019;33.00;31.90;29.73;28.66;29.68;33.17;39.39;49.49;51.43;49.71;47.18;45.09;40.98;37.60;37.41;38.00;39.99;42.50;45.61;46.50;41.00;37.40;35.06;31.50
17.10.2019;30.80;29.49;28.52;26.60;28.50;32.08;41.60;50.99;55.52;55.99;54.52;52.00;50.00;46.92;45.04;46.16;49.14;52.83;56.00;59.90;52.86;44.02;39.46;33.10
16.10.2019;32.00;29.43;27.49;26.00;27.11;30.12;37.02;48.08;49.82;48.38;44.80;44.00;40.62;39.69;41.35;42.68;44.12;47.54;51.30;53.94;48.20;40.00;35.50;30.23
15.10.2019;30.00;29.00;28.51;27.78;27.44;30.81;40.54;50.00;52.50;50.96;48.35;47.81;46.67;43.17;42.72;43.50;46.94;50.64;54.83;58.58;51.13;43.58;38.11;31.49
14.10.2019;25.59;23.41;24.34;25.09;26.59;31.70;41.10;51.50;55.50;53.00;48.99;48.80;46.30;44.41;42.94;43.51;47.51;50.79;54.80;59.55;51.04;42.86;40.60;33.90
13.10.2019;29.10;27.22;27.00;26.00;26.03;25.50;25.02;27.10;27.70;27.80;26.99;27.00;26.54;17.10;18.10;16.71;24.00;28.00;28.10;32.90;30.80;29.03;28.10;26.10
12.10.2019;16.70;14.30;15.00;13.74;13.81;19.09;23.00;27.21;30.50;30.62;28.06;27.53;27.20;25.99;25.80;25.60;29.07;33.50;40.05;42.40;40.93;37.96;35.14;31.97
